Model	Combination	majority_er	minority_er	er	crl-2	er_ea	pearson	cosine	ea_er	cr-2	ea	majority_ea	minority_ea	ca-2	majority_ea_er	minority_ea_er
Baseline	majority_voting	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401	57.91880391	54.10882695
Baseline	weighted_voting	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401	57.91880391	54.10882695
Baseline	averaging	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401	57.91880391	54.10882695
Baseline	weighted_averaging	67.42021703	59.77534001	67.19461279	88.3030303	86.02697673	0.747507188	0.752955626	57.803367	60.46329966	67.6	69.53691756	37.57777778	79.60673401	57.91880391	54.10882695
Simple-ensemble	majority_voting	84.38556073	83.85171653	84.37037037	-1	83.59536233	0.842124953	0.843703704	70.52525253	-1	75.24579125	77.28315412	43.66666667	-1	66.97728722	71.46499539
Simple-ensemble	weighted_voting	84.42214196	83.79884955	84.4040404	-1	83.65974208	0.842465055	0.844040404	70.60606061	-1	75.26599327	77.28315412	44	-1	67.24921866	68.45650826
Simple-ensemble	averaging	85.75044456	83.46548811	85.68350168	98.10774411	83.15691316	0.939267629	0.941832063	71.24579125	75.71380471	75.6026936	77.62007168	44.33333333	85.73737374	68.93909889	74.21628962
Simple-ensemble	weighted_averaging	85.75739915	83.46548811	85.69023569	98.11447811	83.16647634	0.93918	0.941747266	71.25925926	75.6969697	75.60942761	77.62724014	44.33333333	85.73737374	68.93167204	74.72551603
Snapshot	majority_voting	85.08206093	84.28185403	85.05723906	-1	83.10897726	0.849063021	0.850572391	70.68686869	-1	75.32659933	77.26164875	45.33333333	-1	70.49034359	76.75572835
Snapshot	weighted_voting	85.10121413	83.96275898	85.06397306	-1	83.11718993	0.849131041	0.850639731	70.7003367	-1	75.34006734	77.23297491	46	-1	70.52101621	76.15919224
Snapshot	averaging	86.00691133	85.79594017	86	98.05387205	82.81677486	0.94057633	0.943054197	71.21885522	75.59259259	75.61616162	77.5125448	46.22222222	86.05387205	70.99768935	77.95940171
Snapshot	weighted_averaging	85.97908717	85.79594017	85.97306397	98.06060606	82.78769699	0.940581018	0.94305858	71.17171717	75.60942761	75.57575758	77.46953405	46.22222222	86.04040404	70.94900579	77.95940171
Snapshot-A	majority_voting	85.63753173	85.36578145	85.62289562	-1	83.36002232	0.854776723	0.856228956	71.37373737	-1	75.75757576	77.77060932	44.55555556	-1	71.1678067	78.30624389
Snapshot-A	weighted_voting	85.71213368	85.53814357	85.6969697	-1	83.35787324	0.855524946	0.856969697	71.43434343	-1	75.7979798	77.74910394	45.55555556	-1	71.21960052	78.6144024
Snapshot-A	averaging	86.5027105	86.11552047	86.48484848	98.13468013	83.13434463	0.940793359	0.94328086	71.8989899	75.24915825	75.91919192	77.90681004	45.11111111	85.71717172	71.69112391	78.76642785
Snapshot-A	weighted_averaging	86.47703019	86.29280797	86.46464646	98.13468013	83.10743842	0.940791953	0.943279421	71.85858586	75.25925926	75.89225589	77.88530466	45	85.71717172	71.64657128	78.90924278
Snapshot-B	majority_voting	81.72602973	80.03547379	81.67676768	-1	84.29329346	0.814916845	0.816767677	68.84848485	-1	74.34343434	76.35842294	43.11111111	-1	68.71239916	73.27140452
Snapshot-B	weighted_voting	81.91569373	78.98441428	81.82491582	-1	84.33813949	0.816413291	0.818249158	69.01010101	-1	74.45791246	76.42293907	44	-1	68.91873476	71.84514832
Snapshot-B	averaging	83.58754739	80.72322875	83.5016835	97.07744108	83.95994502	0.91609928	0.919354596	70.10774411	72.13804714	75.11111111	77.08960573	44.44444444	85.09090909	69.9583579	74.93297982
Snapshot-B	weighted_averaging	83.58055664	80.72322875	83.49494949	97.09090909	83.95854319	0.916055523	0.919312256	70.1010101	72.14478114	75.1043771	77.08243728	44.44444444	85.09090909	69.95139319	74.93297982
Super-ensemble	majority_voting	89.67186905	87.8664028	89.61616162	-1	81.74692973	0.895112744	0.896161616	73.25252525	-1	76.44444444	78.43010753	45.66666667	-1	73.03485278	80.15688636
Super-ensemble	weighted_voting	89.62156719	87.94901017	89.56902357	-1	81.81939743	0.894636602	0.895690236	73.27946128	-1	76.48484848	78.45878136	45.88888889	-1	73.06430238	80.07822943
