current_iteration,total_iteration,learning_rate,train_loss,train_accuracy
1,38200,0.0010000000474974513,4.971985816955566,0.03125
2,38200,0.0009999998146668077,4.295203685760498,0.0390625
3,38200,0.0009999993490055203,3.469407081604004,0.1328125
4,38200,0.0009999984176829457,3.3783299922943115,0.2265625
5,38200,0.0009999972535297275,3.277369260787964,0.25
6,38200,0.0009999957401305437,3.0853309631347656,0.2578125
7,38200,0.0009999938774853945,2.884197235107422,0.3125
8,38200,0.0009999916655942798,2.6452813148498535,0.2421875
9,38200,0.0009999891044571996,2.3253235816955566,0.359375
10,38200,0.000999986194074154,2.2897887229919434,0.296875
11,38200,0.0009999829344451427,2.4509694576263428,0.2734375
12,38200,0.0009999793255701661,2.3181533813476562,0.2578125
13,38200,0.000999975367449224,2.174412965774536,0.25
14,38200,0.0009999711764976382,2.3262648582458496,0.265625
15,38200,0.0009999665198847651,2.1364142894744873,0.328125
16,38200,0.0009999615140259266,2.0629286766052246,0.34375
17,38200,0.0009999562753364444,1.9467641115188599,0.3125
18,38200,0.0009999505709856749,1.9062286615371704,0.34375
19,38200,0.0009999446338042617,1.8498350381851196,0.4140625
20,38200,0.000999938347376883,1.992295742034912,0.3125
21,38200,0.000999931595288217,2.0126469135284424,0.3359375
22,38200,0.0009999246103689075,1.9575151205062866,0.328125
23,38200,0.0009999172762036324,1.7201781272888184,0.4140625
24,38200,0.0009999095927923918,1.8790178298950195,0.359375
25,38200,0.0009999015601351857,1.823707938194275,0.4296875
26,38200,0.0009998931782320142,1.9705146551132202,0.3515625
27,38200,0.0009998844470828772,1.9441759586334229,0.34375
28,38200,0.0009998754831030965,1.8124749660491943,0.390625
29,38200,0.0009998660534620285,1.6594594717025757,0.375
30,38200,0.000999856274574995,1.8177489042282104,0.390625
31,38200,0.000999846262857318,1.7295273542404175,0.421875
32,38200,0.0009998357854783535,1.7615376710891724,0.421875
33,38200,0.0009998250752687454,1.5634881258010864,0.46875
34,38200,0.00099981389939785,1.6354860067367554,0.4453125
35,38200,0.000999802490696311,1.6148653030395508,0.453125
36,38200,0.0009997907327488065,1.6467080116271973,0.4140625
37,38200,0.0009997785091400146,1.7536516189575195,0.4375
38,38200,0.0009997660527005792,1.6027122735977173,0.4609375
39,38200,0.0009997532470151782,1.7500004768371582,0.3671875
40,38200,0.0009997400920838118,1.6066913604736328,0.5234375
41,38200,0.0009997265879064798,1.6165828704833984,0.390625
42,38200,0.0009997127344831824,1.6527761220932007,0.46875
43,38200,0.0009996986482292414,1.6371557712554932,0.3671875
44,38200,0.000999684096314013,1.491295337677002,0.484375
45,38200,0.0009996691951528192,1.6885992288589478,0.4765625
46,38200,0.0009996540611609817,1.524019479751587,0.46875
47,38200,0.0009996384615078568,1.5915803909301758,0.4453125
48,38200,0.0009996226290240884,1.5973244905471802,0.4921875
49,38200,0.0009996063308790326,1.7277458906173706,0.421875
50,38200,0.0009995897999033332,1.6950469017028809,0.4453125
51,38200,0.0009995729196816683,1.6414895057678223,0.4140625
52,38200,0.000999555573798716,1.7006288766860962,0.3984375
53,38200,0.0009995379950851202,1.6810202598571777,0.453125
54,38200,0.0009995200671255589,1.6616153717041016,0.4921875
55,38200,0.000999501789920032,1.6297646760940552,0.4609375
56,38200,0.0009994831634685397,1.648909568786621,0.4296875
57,38200,0.000999464187771082,1.6980725526809692,0.4609375
58,38200,0.0009994449792429805,1.549223780632019,0.5
59,38200,0.0009994253050535917,1.4791144132614136,0.5078125
60,38200,0.0009994052816182375,1.5226001739501953,0.4765625
61,38200,0.0009993850253522396,1.6597912311553955,0.390625
